Date,Product_ID,Product_Name,Price,Units_Sold,Total_Amount
2023-04-02,CL8093,Sneakers,79.48,8,635.84
2023-11-17,BE9179,Shampoo,437.12,18,7868.16
2024-01-05,TO5312,Board Game,310.34,49,15206.659999999998
2023-09-28,SP8139,Tennis Racket,447.41,21,9395.61
2024-05-18,HO8208,Dish Rack,36.08,10,360.79999999999995
2023-02-25,HO1587,Microwave,240.42,11,2644.62
2024-12-23,TO2900,Puzzle,497.65,32,15924.8
2023-02-11,TO8949,Board Game,234.3,8,1874.4
2023-06-01,BE2533,Lipstick,109.83,19,2086.77
2023-07-04,HO5469,Dish Rack,285.99,43,12297.57
2024-08-22,HO1067,Dish Rack,267.75,37,9906.75
2023-07-04,TO5033,Action Figure,386.44,44,17003.36
2023-04-07,CL5657,T-shirt,343.84,44,15128.96
2023-05-05,TO2737,Board Game,420.12,10,4201.2
2023-01-30,BE8861,Perfume,232.49,18,4184.82
2024-08-31,EL6397,Smartphone,485.19,42,20377.98
2024-09-29,TO3118,Board Game,113.57,4,454.28
2024-10-21,CL1909,Jacket,374.46,36,13480.56
2024-09-08,TO7534,Action Figure,135.03,16,2160.48
2024-02-13,BE4411,Face Cream,89.84,50,4492.0
2024-02-17,CL2975,Jeans,156.29,28,4376.12
2023-11-14,EL3151,Smartwatch,185.93,7,1301.51
2024-01-12,SP9021,Basketball,228.27,25,5706.75
2024-05-02,CL7931,Sneakers,54.21,28,1517.88
2024-01-13,SP8112,Basketball,319.04,6,1914.2400000000002
2023-02-11,SP8594,Tennis Racket,341.46,42,14341.32
2024-12-03,EL9115,Laptop,268.37,42,11271.54
2024-06-21,BE8671,Lipstick,224.3,31,6953.3
2023-11-04,HO5921,Microwave,422.35,34,14359.900000000001
2024-03-13,CL1781,Sneakers,279.99,3,839.97
2024-06-09,BE7961,Makeup Kit,212.38,30,6371.4
2024-11-07,EL5151,Smartwatch,184.17,38,6998.459999999999
2023-03-25,SP2866,Football,372.85,30,11185.5
2023-07-03,HO1741,Vacuum Cleaner,50.81,46,2337.26
2023-11-01,CL8454,Sneakers,381.1,29,11051.900000000001
2024-09-30,CL4066,Jacket,113.42,6,680.52
2024-09-10,CL8107,T-shirt,271.84,1,271.84
2024-02-09,BE3813,Face Cream,331.34,30,9940.199999999999
2024-12-09,TO8974,Toy Car,158.37,40,6334.8
2024-01-05,EL5958,Headphones,52.94,9,476.46
2023-01-15,HO1260,Blender,351.06,13,4563.78
2023-01-28,HO3378,Vacuum Cleaner,328.37,28,9194.36
2024-10-03,SP2410,Basketball,157.45,30,4723.5
2023-06-01,TO1357,Puzzle,67.06,10,670.6
2024-12-20,TO8724,Puzzle,19.62,29,568.98
2024-08-22,HO5830,Microwave,289.02,26,7514.5199999999995
2023-02-22,CL2682,T-shirt,318.9,46,14669.4
2024-03-18,TO5764,Puzzle,28.14,26,731.64
2024-05-12,SP8993,Gym Bag,123.63,4,494.52
2024-06-24,BE6174,Perfume,281.1,18,5059.8
2024-10-25,TO2915,Puzzle,252.45,42,10602.9
2023-12-22,TO1340,Puzzle,89.05,47,4185.349999999999
2023-07-16,TO8178,Board Game,123.73,15,1855.95
2024-08-24,EL8675,Tablet,74.27,19,1411.1299999999999
2024-12-29,TO6902,Puzzle,400.03,11,4400.33
2024-09-28,HO2412,Cookware Set,336.86,9,3031.7400000000002
2023-06-27,HO9063,Microwave,59.44,27,1604.8799999999999
2024-05-20,CL4431,Jeans,282.85,2,565.7
2024-01-03,CL3598,Jacket,95.61,33,3155.13
2023-02-02,BE8055,Lipstick,65.84,15,987.6
2023-05-04,SP8968,Basketball,136.33,22,2999.26
2023-12-30,BE5382,Makeup Kit,449.2,45,20214.0
2024-06-11,SP1826,Football,464.05,29,13457.45
2024-04-13,BE2669,Face Cream,413.57,3,1240.71
2024-06-03,BE2934,Shampoo,436.73,24,10481.52
2023-06-10,EL8233,Tablet,383.36,32,12267.52
2023-04-12,HO6482,Cookware Set,411.39,8,3291.12
2023-07-26,TO1107,Puzzle,130.2,31,4036.2
2023-12-16,CL3805,Sneakers,51.76,24,1242.24
2024-02-29,CL3483,Jeans,379.07,34,12888.38
2024-03-07,HO8025,Microwave,212.57,27,5739.389999999999
2024-04-14,SP1487,Tennis Racket,226.86,50,11343.0
2023-01-11,EL2140,Smartwatch,51.54,21,1082.34
2024-02-16,HO2007,Vacuum Cleaner,202.7,3,608.0999999999999
2024-11-07,EL1947,Laptop,489.09,46,22498.14
2024-11-07,SP7869,Tennis Racket,206.98,44,9107.119999999999
2024-12-18,SP6139,Tennis Racket,455.52,1,455.52
2023-10-14,SP3406,Gym Bag,353.14,29,10241.06
2024-10-21,HO8244,Dish Rack,351.76,42,14773.92
2024-02-19,HO2380,Cookware Set,28.12,22,618.64
2024-02-04,EL9527,Laptop,496.04,19,9424.76
2023-08-07,BE6115,Makeup Kit,265.45,49,13007.05
2024-10-12,HO1456,Blender,446.26,35,15619.1
2024-08-29,CL5979,Jeans,365.99,33,12077.67
2023-04-24,EL7110,Smartphone,137.28,33,4530.24
2023-12-29,BE3043,Face Cream,229.88,37,8505.56
2023-01-06,TO4868,Board Game,404.64,38,15376.32
2024-08-02,EL4831,Smartwatch,181.67,19,3451.7299999999996
2024-11-13,EL3293,Smartwatch,360.03,34,12241.019999999999
2023-09-11,BE9461,Lipstick,295.36,50,14768.0
2024-01-05,TO3401,Action Figure,358.7,27,9684.9
2023-03-25,BE7961,Face Cream,445.37,31,13806.47
2023-08-08,TO7050,Action Figure,341.64,26,8882.64
2024-08-25,SP7468,Gym Bag,437.29,38,16617.02
2024-05-25,EL8210,Headphones,347.62,32,11123.84
2024-03-02,HO9286,Microwave,72.29,46,3325.34
2024-04-13,HO9669,Dish Rack,67.85,14,949.8999999999999
2024-04-11,TO3569,Action Figure,472.59,24,11342.16
2023-05-02,SP2807,Running Shoes,69.22,37,2561.14
2023-10-24,BE3511,Makeup Kit,67.69,20,1353.8
2024-01-19,CL8961,Jacket,23.71,10,237.10000000000002
2023-05-26,SP1797,Running Shoes,469.04,20,9380.800000000001
2023-10-18,HO9008,Microwave,11.02,36,396.71999999999997
2023-12-24,BE7841,Face Cream,245.78,20,4915.6
2024-08-02,TO7181,Board Game,242.86,47,11414.42
2024-09-12,HO9270,Microwave,321.87,49,15771.630000000001
2024-04-05,EL3440,Headphones,434.51,21,9124.71
2023-04-02,SP7711,Gym Bag,199.75,26,5193.5
2023-12-14,SP8259,Football,370.6,42,15565.2
2023-04-01,HO6060,Blender,284.91,8,2279.28
2024-10-21,SP4152,Football,478.03,35,16731.05
2024-08-13,BE9548,Makeup Kit,102.8,31,3186.7999999999997
2024-05-29,BE9713,Face Cream,98.07,2,196.14
2023-10-09,HO8278,Microwave,51.48,35,1801.8
2024-09-13,CL1737,Dress,250.82,2,501.64
2023-12-15,TO7798,Doll,21.79,34,740.86
2023-11-21,TO2491,Board Game,66.18,7,463.26000000000005
2024-07-08,HO3359,Cookware Set,99.51,50,4975.5
2023-04-02,HO7672,Cookware Set,342.52,4,1370.08
2024-09-21,CL1445,Jeans,359.52,20,7190.4
2024-02-04,BE3334,Lipstick,212.28,21,4457.88
2023-09-22,TO1849,Action Figure,109.25,49,5353.25
2024-09-03,SP9076,Basketball,259.22,33,8554.26
2024-01-30,BE1993,Lipstick,165.98,36,5975.28
2024-02-21,BE1473,Perfume,209.67,15,3145.0499999999997
2023-01-20,CL2663,Sneakers,130.69,36,4704.84
2024-10-29,HO7664,Cookware Set,228.53,41,9369.73
2024-05-27,HO7116,Microwave,274.82,11,3023.02
